ID,date,milligrams
22,2023/03/20,3067.2
23,2023/03/20,4482.6
24,2023/03/20,3872.2
26,2023/03/20,1805.1
28,2023/03/20,4746.2
29,2023/03/20,2929.6
30,2023/03/20,3383.7
31,2023/03/20,3337.6
32,2023/03/20,2713.8
35,2023/03/20,4497.3
36,2023/03/20,4464.6
37,2023/03/20,3039.4
38,2023/03/20,2950.5
39,2023/03/20,2086.8
40,2023/03/20,1112.6
42,2023/03/20,4628.2
43,2023/03/20,4805.1
45,2023/03/20,2880.6
46,2023/03/20,3951.1
48,2023/03/20,4226.3
50,2023/03/20,3439.7
51,2023/03/20,2653.2
52,2023/03/20,4159.1
53,2023/03/20,2922.8
54,2023/03/20,4203.4
55,2023/03/20,5210.9
56,2023/03/20,3173.7
57,2023/03/20,3097.2
60,2023/03/20,3612.4
61,2023/03/20,4640.1
62,2023/03/20,3615.1
63,2023/03/20,5037.4
64,2023/03/20,3641.2
65,2023/03/20,4737.4
67,2023/03/20,2899.5
68,2023/03/20,4186.8
69,2023/03/20,3835.0
73,2023/03/20,2730.5
74,2023/03/20,4163.2
76,2023/03/20,2796.9
78,2023/03/20,3144.5
82,2023/03/20,2679.4
85,2023/03/20,4045.4
86,2023/03/20,3221.3
87,2023/03/20,2693.8
88,2023/03/20,5223.1
90,2023/03/20,4472.0
92,2023/03/20,3960.2
93,2023/03/20,4930.1
94,2023/03/20,5216.3
95,2023/03/20,2956.3
96,2023/03/20,4364.0
97,2023/03/20,4727.7
98,2023/03/20,4341.6
99,2023/03/20,4179.6
100,2023/03/20,5204.5
101,2023/03/20,2530.5
103,2023/03/20,2514.5
105,2023/03/20,3468.6
106,2023/03/20,4295.6
108,2023/03/20,2456.2
111,2023/03/20,3916.1
112,2023/03/20,2323.7
113,2023/03/20,1686.6
114,2023/03/20,3869.6
115,2023/03/20,4131.1
1,2023/03/21,2771.6
2,2023/03/21,2831.8
3,2023/03/21,5225.5
4,2023/03/21,3991.4
5,2023/03/21,5534.5
7,2023/03/21,4159.8
8,2023/03/21,1949.8
9,2023/03/21,3593.8
10,2023/03/21,2367.6
11,2023/03/21,2935.7
12,2023/03/21,3173.8
13,2023/03/21,3556.4
14,2023/03/21,3344.6
15,2023/03/21,3903.5
19,2023/03/21,3087.4
21,2023/03/21,4979.6
22,2023/03/21,3087.8
23,2023/03/21,4530.6
24,2023/03/21,3790.3
26,2023/03/21,1801.9
29,2023/03/21,2936.0
30,2023/03/21,3694.8
35,2023/03/21,4510.4
36,2023/03/21,4352.1
37,2023/03/21,2949.3
38,2023/03/21,2855.8
39,2023/03/21,2007.0
42,2023/03/21,5105.9
43,2023/03/21,4610.6
45,2023/03/21,2837.4
46,2023/03/21,3827.8
50,2023/03/21,3277.1
52,2023/03/21,4305.9
53,2023/03/21,3023.5
54,2023/03/21,4043.3
55,2023/03/21,5198.4
56,2023/03/21,3204.4
57,2023/03/21,3232.0
60,2023/03/21,3634.3
