,ID,date,obs
214,100,2023-03-01,N
215,101,2023-03-01,N
216,102,2023-03-01,N
217,103,2023-03-01,N
218,104,2023-03-01,N
219,105,2023-03-01,N
220,106,2023-03-01,N
221,107,2023-03-01,N
222,108,2023-03-01,N
223,109,2023-03-01,N
224,110,2023-03-01,ND
225,111,2023-03-01,N
226,112,2023-03-01,N
227,113,2023-03-01,N
228,114,2023-03-01,N
229,115,2023-03-01,N
230,1,2023-03-02,F
231,2,2023-03-02,F
232,3,2023-03-02,F
233,4,2023-03-02,F
234,5,2023-03-02,F
235,6,2023-03-02,F
236,7,2023-03-02,F
237,8,2023-03-02,F
238,9,2023-03-02,F
239,10,2023-03-02,F
240,11,2023-03-02,F
241,12,2023-03-02,F
242,13,2023-03-02,F
243,14,2023-03-02,F
244,15,2023-03-02,F
245,16,2023-03-02,F
246,17,2023-03-02,F
247,18,2023-03-02,F
248,19,2023-03-02,F
249,20,2023-03-02,F
250,21,2023-03-02,F
251,22,2023-03-02,F
252,23,2023-03-02,F
253,24,2023-03-02,F
254,25,2023-03-02,F
255,26,2023-03-02,F
256,27,2023-03-02,F
257,28,2023-03-02,F
258,29,2023-03-02,F
259,30,2023-03-02,F
260,31,2023-03-02,F
261,32,2023-03-02,N
262,33,2023-03-02,F
263,34,2023-03-02,N
264,35,2023-03-02,F
265,36,2023-03-02,F
266,37,2023-03-02,F
267,38,2023-03-02,F
268,39,2023-03-02,F
269,40,2023-03-02,F
270,41,2023-03-02,F
271,42,2023-03-02,F
272,43,2023-03-02,F
273,44,2023-03-02,F
274,45,2023-03-02,F
275,46,2023-03-02,F
276,47,2023-03-02,F
277,48,2023-03-02,F
278,49,2023-03-02,F
279,50,2023-03-02,F
280,51,2023-03-02,F
281,52,2023-03-02,F
282,53,2023-03-02,F
283,54,2023-03-02,F
284,55,2023-03-02,F
285,56,2023-03-02,F
286,57,2023-03-02,F
287,58,2023-03-02,N
288,59,2023-03-02,N
289,60,2023-03-02,F
290,61,2023-03-02,F
291,62,2023-03-02,F
292,63,2023-03-02,F
293,64,2023-03-02,F
294,65,2023-03-02,F
295,66,2023-03-02,N
296,67,2023-03-02,F
297,68,2023-03-02,F
298,69,2023-03-02,F
299,70,2023-03-02,N
300,71,2023-03-02,F
301,72,2023-03-02,N
302,73,2023-03-02,N
303,74,2023-03-02,F
304,75,2023-03-02,F
305,76,2023-03-02,F
306,77,2023-03-02,N
307,78,2023-03-02,F
308,79,2023-03-02,F
309,80,2023-03-02,F
310,81,2023-03-02,N
311,82,2023-03-02,F
312,83,2023-03-02,N
313,84,2023-03-02,F
314,85,2023-03-02,F
315,86,2023-03-02,F
316,87,2023-03-02,F
317,88,2023-03-02,F
318,89,2023-03-02,N
319,90,2023-03-02,F
320,91,2023-03-02,F
321,92,2023-03-02,N
322,93,2023-03-02,F
323,94,2023-03-02,F
324,95,2023-03-02,F
325,96,2023-03-02,N
326,97,2023-03-02,F
327,98,2023-03-02,F
328,99,2023-03-02,F
329,100,2023-03-02,F
330,101,2023-03-02,F
331,102,2023-03-02,N
332,103,2023-03-02,F
333,104,2023-03-02,F
334,105,2023-03-02,F
335,106,2023-03-02,F
336,107,2023-03-02,N
337,108,2023-03-02,F
338,109,2023-03-02,N
339,110,2023-03-02,-
340,111,2023-03-02,F
341,112,2023-03-02,F
342,113,2023-03-02,F
343,114,2023-03-02,F
344,115,2023-03-02,F
345,1,2023-03-03,F
346,2,2023-03-03,F
347,3,2023-03-03,F
348,4,2023-03-03,F
349,5,2023-03-03,F
350,6,2023-03-03,N
351,7,2023-03-03,F
352,8,2023-03-03,F
353,9,2023-03-03,F
354,10,2023-03-03,F
355,11,2023-03-03,F
356,12,2023-03-03,F
357,13,2023-03-03,N
358,14,2023-03-03,F
359,15,2023-03-03,F
360,16,2023-03-03,N
361,17,2023-03-03,N
362,18,2023-03-03,F
363,19,2023-03-03,F
364,20,2023-03-03,F
365,21,2023-03-03,F
366,22,2023-03-03,F
367,23,2023-03-03,F
368,24,2023-03-03,F
369,25,2023-03-03,N
370,26,2023-03-03,F
371,27,2023-03-03,N
372,28,2023-03-03,F
373,29,2023-03-03,F
374,30,2023-03-03,F
375,31,2023-03-03,F
376,32,2023-03-03,N
377,33,2023-03-03,F
378,34,2023-03-03,N
379,35,2023-03-03,F
380,36,2023-03-03,F
381,37,2023-03-03,F
382,38,2023-03-03,F
383,39,2023-03-03,F
384,40,2023-03-03,F
385,41,2023-03-03,F
